ἐκέλευσα<br><br>1 Present;κελεύω
γίγνομαι<br><br>5 Perfect Passive;γεγένημαι
ἦλθον<br><br>1 Present;ἔρχομαι
ἔρχομαι<br><br>2 Future;ἐλεύσομαι
ἔρχομαι<br><br>3 Aorist;ἦλθον
ἔρχομαι<br><br>4 Perfect;ἐλήλυθα
ἔμαθον<br><br>1 Present;μανθάνω
μανθάνω<br><br>2 Future;μαθήσομαι
μανθάνω<br><br>3 Aorist;ἔμαθον
μανθάνω<br><br>4 Perfect;μεμάθηκα
ἐμαχησάμην<br><br>1 Present;μάχομαι
μάχομαι<br><br>2 Future;μαχοῦμαι
μάχομαι<br><br>3 Aorist;ἐμαχησάμην
μάχομαι<br><br>4 Perfect;μεμάχημαι
μετέδωκα<br><br>1 Present;μεταδίδωμι
μεταδίδωμι<br><br>2 Future;μεταδώσω
μεταδίδωμι<br><br>3 Aorist;μετέδωκα
μεταδίδωμι<br><br>4 Perfect;μεταδέδωκα
μεταδίδωμι<br><br>5 Perfect Passive;μεταδέδομαι
μεταδίδωμι<br><br>6 Aorist Passive;μετεδόθην
μετανέστην<br><br>1 Present;μετανίσταμαι
μετανίσταμαι<br><br>2 Future;μεταναστήσομαι
μετανίσταμαι<br><br>3 Aorist;μετανέστην
μετανίσταμαι<br><br>4 Perfect;μετανέστηκα
ἐμηχανηάμην<br><br>1 Present;μηχανάομαι
μηχανῶμαι<br><br>2 Future;μηχανήσομαι
μηχανῶμαι<br><br>3 Aorist;ἐμηχανηάμην
μηχανῶμαι<br><br>4 Perfect;μεμηχάνημαι
ἔφυγον<br><br>1 Present;φεύγω
φεύγω<br><br>2 Future;φεύξομαι
φεύγω<br><br>3 Aorist;ἔφυγον
φεύγω<br><br>4 Perfect;πέφευγα
ἔδειξα<br><br>1 Present;δείκνῡμι
δείκνυμι<br><br>2 Future;δείξω
δείκνυμι<br><br>3 Aorist;ἔδειξα
δείκνυμι<br><br>4 Perfect;δέδεικα
δείκνυμι<br><br>5 Perfect Passive;δέδειγμαι
δείκνυμι<br><br>6 Aorist Passive;ἐδείχθην
ἐπανέστην<br><br>1 Present;ἐπανίσταμαι
ἐπανίσταμαι<br><br>2 Future;ἐπαναστήσομαι
ἐπανίσταμαι<br><br>3 Aorist;ἐπανέστην
ἐπανίσταμαι<br><br>4 Perfect;ἐπανέστηκα
ἠρώτησα<br><br>1 Present;ἐρωτάω
ἐρωτῶ<br><br>2 Future;ἐρωτήσω
ἐρωτῶ<br><br>3 Aorist;ἠρώτησα
ἐρωτῶ<br><br>4 Perfect;ἠρώτηκα
ἐρωτῶ<br><br>5 Perfect Passive;ἠρώτημαι
ἐρωτῶ<br><br>6 Aorist Passive;ἠρωτήθην
ἔλαθον<br><br>1 Present;λανθάνω
λανθάνω<br><br>2 Future;λήσω
λανθάνω<br><br>3 Aorist;ἔλαθον
λανθάνω<br><br>4 Perfect;λέληθα
ἔτυχον<br><br>1 Present;τυνχάνω
τυνχάνω<br><br>2 Future;τεύξομαι
τυνχάνω<br><br>3 Aorist;ἔτυχον
τυνχάνω<br><br>4 Perfect;τετύχηκα
ὑπήκουσα<br><br>1 Present;ὑπακούω
ὑπακούω<br><br>2 Future;ὑπακούσομαι
ὑπακούω<br><br>3 Aorist;ὑπήκουσα
ὑπακούω<br><br>4 Perfect;ὑπακήκοα
ὑπακούω<br><br>6 Aorist Passive;ὑπηκούσθην
ὑπέμεινα<br><br>1 Present;ὑπομένω
ὑπομένω<br><br>2 Future;ὑπομενῶ
ὑπομένω<br><br>3 Aorist;ὑπέμεινα
ὑπομένω<br><br>4 Perfect;ὑπομεμένηκα
ἔφθασα / ἔφθην<br><br>1 Present;φθάνω
φθάνω<br><br>2 Future;φθήσομαι
φθάνω<br><br>3 Aorist;ἔφθασα / ἔφθην
ἐχάρην<br><br>1 Present;χαίρω
χαίρω<br><br>2 Future;χαιρήσω
χαίρω<br><br>3 Aorist;ἐχάρην
χαίρω<br><br>4 Perfect;κεχάρηκα
εἷλον<br><br>1 Present;αἱρέω
αἱρῶ<br><br>2 Future;αἱρήσω
αἱρῶ<br><br>3 Aorist;εἷλον
αἱρῶ<br><br>4 Perfect;ᾕρηκα
αἱρῶ<br><br>5 Perfect Passive;ᾕρημαι
αἱρῶ<br><br>6 Aorist Passive;ᾑρέθην
ᾐσθόμην<br><br>1 Present;αἰσθάνομαι
αἰσθάνομαι<br><br>2 Future;αἰσθήσομαι
αἰσθάνομαι<br><br>3 Aorist;ᾐσθόμην
αἰσθάνομαι<br><br>4 Perfect;ᾐσθήμαι
ἑσπόμην<br><br>1 Present;ἕπομαι
ἕπομαι<br><br>2 Future;ἕψομαι
ἕπομαι<br><br>3 Aorist;ἑσπόμην
εἶδον<br><br>1 Present;ὁράω
ὁρῶ<br><br>2 Future;ὄψομαι
ὁρῶ<br><br>3 Aorist;εἶδον
ὁρῶ<br><br>4 Perfect;ἑόρᾱκα / ἑώρᾱκα
ὁρῶ<br><br>5 Perfect Passive;ἑώρᾱμαι / ὦμμαι
ὁρῶ<br><br>6 Aorist Passive;ὤφθην
ἤνενγκα / ἤνεγκον<br><br>1 Present;φέρω
φέρω<br><br>2 Future;οἴσω
φέρω<br><br>3 Aorist;ἤνενγκα / ἤνεγκον
φέρω<br><br>4 Perfect;ἐνήνοχα
φέρω<br><br>5 Perfect Passive;ἐνήνεγμαι
φέρω<br><br>6 Aorist Passive;ἠνέχθην
ἔσομαι<br><br>1 Present;ἐιμί
ἐιμί<br><br>2 Future;ἔσομαι
walk, step, go; (perfect) stand<br><br>1 Present;βαίνω
βαίνω<br><br>4 Perfect;βέβηκα
ἀνέβην<br><br>1 Present;ἀναβαίνω
ἀναβαίνω<br><br>2 Future;ἀναβήσομαι
ἀναβαίνω<br><br>3 Aorist;ἀνέβην
ἀναβαίνω<br><br>4 Perfect;ἀναβέβηκα
ἔγνων<br><br>1 Present;γιγνώσκω
γιγνώσκω<br><br>2 Future;γνώσομαι
γιγνώσκω<br><br>3 Aorist;ἔγνων
γιγνώσκω<br><br>4 Perfect;ἔγνωκα
γιγνώσκω<br><br>5 Perfect Passive;ἔγνωσμαι
γιγνώσκω<br><br>6 Aorist Passive;ἐγνώσθην
εἶπον / ἔλεξα<br><br>1 Present;λέγω
λέγω<br><br>2 Future;ἐρῶ / λέξω
λέγω<br><br>3 Aorist;εἶπον / ἔλεξα
λέγω<br><br>4 Perfect;εἴρηκα
λέγω<br><br>5 Perfect Passive;εἴρημαι / λέλεγμαι
λέγω<br><br>6 Aorist Passive;ἐλέχθην / ἐρρήθην
ἐνόμισα<br><br>1 Present;νομίζω
νομίζω<br><br>2 Future;νομιῶ
νομίζω<br><br>3 Aorist;ἐνόμισα
νομίζω<br><br>4 Perfect;νενόμικα
νομίζω<br><br>5 Perfect Passive;νενόμισμαι
νομίζω<br><br>6 Aorist Passive;ἐνομίσθην
ἔπεσον<br><br>1 Present;πί̄πτω
πίπτω<br><br>2 Future;πεσοῦμαι
πίπτω<br><br>3 Aorist;ἔπεσον
πίπτω<br><br>4 Perfect;πέπτωκα
ἔφησα<br><br>1 Present;φημί
φημί<br><br>2 Future;φήσω
φημί<br><br>3 Aorist;ἔφησα
ἥμαρτον<br><br>1 Present;ἁμαρτάνω
ἁμαρτάνω<br><br>2 Future;ἁμαρτήσομαι
ἁμαρτάνω<br><br>3 Aorist;ἥμαρτον
ἁμαρτάνω<br><br>4 Perfect;ἡμάρτηκα
ἁμαρτάνω<br><br>5 Perfect Passive;ἡμάρτημαι
ἁμαρτάνω<br><br>6 Aorist Passive;ἡμαρτήθην
ἔδοξα<br><br>1 Present;δοκέω
δοκῶ<br><br>2 Future;δόξω
δοκῶ<br><br>3 Aorist;ἔδοξα
δοκῶ<br><br>5 Perfect Passive;δέδογμαι
δοκῶ<br><br>6 Aorist Passive;ἐδόχθην
ἐδυνήθην<br><br>1 Present;δύναμαι
δύναμαι<br><br>2 Future;δυνήσομαι
δύναμαι<br><br>3 Aorist;ἐδυνήθην
δύναμαι<br><br>4 Perfect;δεδύνημαι
go, come<br><br>1 Present;εἶμι
ἤλασα<br><br>1 Present;ἐλαύνω
ἐλαύνω<br><br>2 Future;ἐλῶ
ἐλαύνω<br><br>3 Aorist;ἤλασα
ἐλαύνω<br><br>4 Perfect;ἐλήλακα
ἐλαύνω<br><br>5 Perfect Passive;ἐλήλαμαι
ἐλαύνω<br><br>6 Aorist Passive;ἠλάθην
ἠπιστήθην<br><br>1 Present;ἐπίσταμαι
ἐπίσταμαι<br><br>2 Future;ἐπιστήσομαι
ἐπίσταμαι<br><br>3 Aorist;ἠπιστήθην
ἔσχον<br><br>1 Present;ἔχω
ἔχω<br><br>2 Future;ἕξω / σχήσω
ἔχω<br><br>3 Aorist;ἔσχον
ἔχω<br><br>4 Perfect;ἔσχηκα
ἔχω<br><br>5 Perfect Passive;ἔσχημαι
